sftp-psql-demo-sftp24-1  | debug3: fd 5 is not O_NONBLOCK
sftp-psql-demo-sftp24-1  | debug1: Server will not fork when running in debugging mode.
sftp-psql-demo-sftp24-1  | debug3: process_channel_timeouts: setting 0 timeouts
sftp-psql-demo-sftp24-1  | debug3: channel_clear_timeouts: clearing
sftp-psql-demo-sftp24-1  | Connection from 192.168.48.1 port 43040 on 192.168.48.3 port 22 rdomain ""
sftp-psql-demo-sftp24-1  | debug1: Local version string SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.5
sftp-psql-demo-sftp24-1  | debug1: Remote protocol version 2.0, remote software version OpenSSH_8.9p1 Ubuntu-3ubuntu0.10
sftp-psql-demo-sftp24-1  | debug1: compat_banner: match: OpenSSH_8.9p1 Ubuntu-3ubuntu0.10 pat OpenSSH* compat 0x04000000
sftp-psql-demo-sftp24-1  | debug2: fd 5 setting O_NONBLOCK
sftp-psql-demo-sftp24-1  | debug3: ssh_sandbox_init: preparing seccomp filter sandbox
sftp-psql-demo-sftp24-1  | debug2: Network child is on pid 57
sftp-psql-demo-sftp24-1  | debug3: preauth child monitor started
sftp-psql-demo-sftp24-1  | debug3: privsep user:group 100:65534 [preauth]
sftp-psql-demo-sftp24-1  | debug1: permanently_set_uid: 100/65534 [preauth]
sftp-psql-demo-sftp24-1  | debug3: ssh_sandbox_child: setting PR_SET_NO_NEW_PRIVS [preauth]
sftp-psql-demo-sftp24-1  | debug3: ssh_sandbox_child: attaching seccomp filter program [preauth]
sftp-psql-demo-sftp24-1  | debug3: append_hostkey_type: ssh-rsa key not permitted by HostkeyAlgorithms [preauth]
sftp-psql-demo-sftp24-1  | debug1: list_hostkey_types: rsa-sha2-512,rsa-sha2-256,ecdsa-sha2-nistp256,ssh-ed25519 [preauth]
sftp-psql-demo-sftp24-1  | debug3: send packet: type 20 [preauth]
sftp-psql-demo-sftp24-1  | debug1: SSH2_MSG_KEXINIT sent [preauth]
sftp-psql-demo-sftp24-1  | debug3: receive packet: type 20 [preauth]
sftp-psql-demo-sftp24-1  | debug1: SSH2_MSG_KEXINIT received [preauth]
sftp-psql-demo-sftp24-1  | debug2: local server KEXINIT proposal [preauth]
